CA	Piston position	D	E	F	G	H	I	J
241.30	71.040							
241.40	70.979							
241.50	70.918							
241.60	70.857							
241.70	70.796							
241.80	70.734							
241.90	70.673							
242.00	70.612							
242.10	70.550							
242.20	70.489							
242.30	70.427							
242.40	70.365							
242.50	70.303							
242.60	70.241							
242.70	70.179							
242.80	70.117							
242.90	70.055							
243.00	69.993							
243.10	69.931							
243.20	69.868							
243.30	69.806							
243.40	69.743							
243.50	69.681							
243.60	69.618							
243.70	69.555							
243.80	69.492							
243.90	69.429							
244.00	69.366							
244.10	69.303							
244.20	69.240							
244.30	69.176							
244.40	69.113							
244.50	69.050							
244.60	68.986							
244.70	68.922							
244.80	68.859							
244.90	68.795							
245.00	68.731							
245.10	68.667							
245.20	68.603							
245.30	68.539							
245.40	68.475							
245.50	68.411							
245.60	68.346							
245.70	68.282							
245.80	68.217							
245.90	68.153							
246.00	68.088							
246.10	68.023							
246.20	67.958							
246.30	67.894							
246.40	67.829							
246.50	67.764							
246.60	67.698							
246.70	67.633							
246.80	67.568							
246.90	67.503							
247.00	67.437							
247.10	67.372							
247.20	67.306							
247.30	67.240							
247.40	67.175							
247.50	67.109							
247.60	67.043							
247.70	66.977							
247.80	66.911							
247.90	66.845							
248.00	66.779							
248.10	66.712							
248.20	66.646							
248.30	66.580							
248.40	66.513							
248.50	66.446							
248.60	66.380							
248.70	66.313							
248.80	66.246							
248.90	66.179							
249.00	66.112							
249.10	66.045							
249.20	65.978							
249.30	65.911							
249.40	65.844							
249.50	65.776							
249.60	65.709							
249.70	65.642							
249.80	65.574							
249.90	65.506							
250.00	65.439							
250.10	65.371							
250.20	65.303							
250.30	65.235							
250.40	65.167							
250.50	65.099							
250.60	65.031							
250.70	64.963							
250.80	64.894							
250.90	64.826							
251.00	64.758							
251.10	64.689							
251.20	64.621							
251.30	64.552							
251.40	64.483							
251.50	64.415							
251.60	64.346							
251.70	64.277							
251.80	64.208							
251.90	64.139							
252.00	64.070							
252.10	64.000							
252.20	63.931							
252.30	63.862							
252.40	63.792							
252.50	63.723							
252.60	63.653							
252.70	63.584							
252.80	63.514							
252.90	63.444							
253.00	63.374							
253.10	63.304							
253.20	63.234							
253.30	63.164							
253.40	63.094							
253.50	63.024							
253.60	62.954							
253.70	62.884							
253.80	62.813							
253.90	62.743							
254.00	62.672							
254.10	62.602							
254.20	62.531							
254.30	62.460							
254.40	62.389							
254.50	62.319							
254.60	62.248							
254.70	62.177							
254.80	62.106							
254.90	62.035							
255.00	61.963							
255.10	61.892							
255.20	61.821							
255.30	61.749							
255.40	61.678							
255.50	61.607							
255.60	61.535							
255.70	61.463							
255.80	61.392							
255.90	61.320							
256.00	61.248							
256.10	61.176							
256.20	61.104							
256.30	61.032							
256.40	60.960							
256.50	60.888							
256.60	60.816							
256.70	60.743							
256.80	60.671							
256.90	60.599							
257.00	60.526							
257.10	60.454							
257.20	60.381							
257.30	60.309							
257.40	60.236							
257.50	60.163							
257.60	60.090							
257.70	60.017							
257.80	59.944							
257.90	59.871							
258.00	59.798							
258.10	59.725							
258.20	59.652							
258.30	59.579							
258.40	59.505							
258.50	59.432							
258.60	59.359							
258.70	59.285							
258.80	59.212							
258.90	59.138							
259.00	59.064							
259.10	58.991							
259.20	58.917							
259.30	58.843							
259.40	58.769							
259.50	58.695							
259.60	58.621							
259.70	58.547							
259.80	58.473							
259.90	58.399							
260.00	58.324							
260.10	58.250							
260.20	58.176							
260.30	58.101							
260.40	58.027							
260.50	57.952							
260.60	57.878							
260.70	57.803							
260.80	57.728							
260.90	57.654							
261.00	57.579							
261.10	57.504							
261.20	57.429							
261.30	57.354							
261.40	57.279							
261.50	57.204							
261.60	57.129							
261.70	57.054							
261.80	56.979							
261.90	56.903							
262.00	56.828							
262.10	56.753							
262.20	56.677							
262.30	56.602							
262.40	56.526							
262.50	56.450							
262.60	56.375							
262.70	56.299							
262.80	56.223							
262.90	56.148							
263.00	56.072							
263.10	55.996							
263.20	55.920							
263.30	55.844							
263.40	55.768							
263.50	55.692							
263.60	55.615							
263.70	55.539							
263.80	55.463							
263.90	55.387							
264.00	55.310							
264.10	55.234							
264.20	55.158							
264.30	55.081							
264.40	55.004							
264.50	54.928							
264.60	54.851							
264.70	54.775							
264.80	54.698							
264.90	54.621							
265.00	54.544							
265.10	54.467							
265.20	54.390							
265.30	54.313							
265.40	54.236							
265.50	54.159							
265.60	54.082							
265.70	54.005							
265.80	53.928							
265.90	53.851							
266.00	53.773							
266.10	53.696							
266.20	53.619							
266.30	53.541							
266.40	53.464							
266.50	53.386							
266.60	53.309							
266.70	53.231							
266.80	53.154							
266.90	53.076							
267.00	52.998							
267.10	52.920							
267.20	52.843							
267.30	52.765							
267.40	52.687							
267.50	52.609							
267.60	52.531							
267.70	52.453							
267.80	52.375							
267.90	52.297							
268.00	52.219							
268.10	52.141							
268.20	52.062							
268.30	51.984							
268.40	51.906							
268.50	51.828							
268.60	51.749							
268.70	51.671							
268.80	51.592							
268.90	51.514							
269.00	51.435							
269.10	51.357							
269.20	51.278							
269.30	51.200							
269.40	51.121							
269.50	51.042							
269.60	50.964							
269.70	50.885							
269.80	50.806							
269.90	50.727							
270.00	50.648							
270.10	50.569							
270.20	50.490							
270.30	50.412							
270.40	50.333							
270.50	50.253							
270.60	50.174							
270.70	50.095							
270.80	50.016							
270.90	49.937							
271.00	49.858							
271.10	49.779							
271.20	49.699							
271.30	49.620							
271.40	49.541							
271.50	49.461							
271.60	49.382							
271.70	49.302							
271.80	49.223							
271.90	49.143							
272.00	49.064							
272.10	48.984							
272.20	48.905							
272.30	48.825							
272.40	48.746							
272.50	48.666							
272.60	48.586							
272.70	48.506							
272.80	48.427							
272.90	48.347							
273.00	48.267							
273.10	48.187							
273.20	48.107							
273.30	48.027							
273.40	47.948							
273.50	47.868							
273.60	47.788							
273.70	47.708							
273.80	47.628							
273.90	47.548							
274.00	47.467							
274.10	47.387							
274.20	47.307							
